Outlet,Address,Postcode,Sub area,Area,State,Location category,Location description,Other remarks
RIGHTSIDE FAST FOOD @ 163 MONT KIARA (formerly Amazonvegan),"UNIT GF-02, 163, Retail Park, Mont Kiara, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50480,163 Retail Park,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,Inside 163 Retail Park
"Shakariki 432""","〒50480 Wilayah Persekutuan Kuala Lumpur, Solaris Dutamas, Jalan Dutamas 1, D4-G3-5",50480,Solaris Dutamas,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,Within Publika
Thai Cup,"PUBLIKA SHOPPING GALLERY, D5-G3-1, Solaris Dutamas, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50480,Solaris Dutamas,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,Within Publika
The Bee @ Publika,"Lot 36B, Level G2, Block C, Publika, Jalan Dutamas 1, Solaris Dutamas, 50480 Kuala Lumpur",50480,Solaris Dutamas,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,Within Publika
The Fat Fish @163 Retail Park,"GF-06, 163 Retail Park, 8, Jalan Kiara, Mont Kiara, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50480,163 Retail Park,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,Inside 163 Retail Park
Tonkatsu by Ma Maison @ 163 Retail Park,"Lot GF - 03, 8, Jalan Kiara, Mont Kiara, 50480 Kuala Lumpur, Federal Territory of Kuala Lumpur",50480,163 Retail Park,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,Inside 163 Retail Park
Two Sons Bistro,"A4-G2-8 Publika, 1, Jalan Dutamas 1, Solaris Dutamas, 50480 Kuala Lumpur, Federal Territory of Kuala Lumpur",50480,Solaris Dutamas,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,Within Publika
Whisk Coffee @ 163 Retail Park,"GF-10, 163 Retail Park, Jalan Kiara, Mont Kiara, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50480,163 Retail Park,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,Inside 163 Retail Park
Ola! Korea Barbeque Garden,"J-01, 12, Jalan Solaris, Solaris Mont Kiara, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50480,Mont Kiara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Arete Kafe Jin Gwan Sunkyo,"Arete Cafe B-G-13 GATEWAY KIARAMAS, NO 1, Jalan Desa Kiara, Mont Kiara, 50480 Kuala Lumpur",50480,Mont Kiara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor seating,None
BUSANZIP,"23-G, Jalan 26/70a, Desa Sri Hartamas, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50480,Hartamas,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor seating,Carrier / Stroller
Daorae Korean BBQ Restaurant | Desa Sri Hartamas,"27 & 29 Jalan 23/70 A, Sri Hartamas,, Desa Sri Hartamas, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50480,Hartamas,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor seating,Upstairs; Reservations required
Dongdaemun Dakhanmari [Korean Restaurant One Chicken Pot] 동대문 닭한마리,"K-G-5, 2, Jalan Solaris, Solaris Mont Kiara, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50480,Mont Kiara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor seating; OUtdoor seating,None
Kofi by 77,"Shoplot 7, Vista Kiara, 5, Jalan Kiara 3, Mont Kiara, 50480 Kuala Lumpur, Federal Territory of Kuala Lumpur",50480,Mont Kiara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor seating,None
Kopenhagen Coffee Mont Kiara,"Shoplot 7, Vista Kiara, 6 7, Jalan Kiara 3, Mont Kiara, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50480,Mont Kiara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor seating,None
Madam Fish Noodle House,"G5, Mont' Kiara Meridin, 19, Jln Duta Kiara, Mont Kiara, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50480,Mont Kiara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor seating; Outdoor seating,Indoor seating - small dogs; Carrier / Stroller; Outdoor seating - big dogs
Nguyen’s / Good Viet,"Unit 1F, 15, 8, Jalan Kiara, Mont Kiara, 50480 Kuala Lumpur, Federal Territory of Kuala Lumpur",50480,Mont Kiara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor seating,Inside 163 Retail Park; Carrier / Stroller; Well behaved furkids only
PWRHOUSE FITNESS STUDIO,"1, Jalan 48/70a Level 1, Matahari Building, Desa Sri Hartamas, 50480 Kuala Lumpur",50480,Hartamas,Kuala Lumpur,Wilayah Persekutuan,Pet friendly gym,,None
Sanctuary 38,"38-1, Jalan 27/70a, Desa Sri Hartamas, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50480,Hartamas,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor seating,Upstairs
Qra @ Arcoris,"Lot LG5-1 & LG5-3A, Lower Ground 5 Level, Arcoris, 10, Jalan Kiara, Mont Kiara, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50480,Mont Kiara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Quack,"60 Jalan Sri Hartamas 1, Plaza Damas, Lot K-0-8B (Ground Floor), Dorchester Service Apartment, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50480,Hartamas,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Ra-Ft Café / Bistro Arcoris | Coffee Roasters,"G-17, Ground Level, Arcoris Plaza, Unit G-16 &, 10, Jalan Kiara, Mont Kiara, 50480 Kuala Lumpur",50480,Mont Kiara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Real Sweet Treats @Plaza Damas 3,"C-0-15, Plaza Damas, 3, Jalan, Taman Sri Hartamas, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50480,Hartamas,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Restaurant Udang King,"Seni Mont Kiara, LG1-5&6, 2A, Changkat Duta Kiara, Mont Kiara, 50480 Kuala Lumpur, Federal Territory of Kuala Lumpur",50480,Mont Kiara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
"Sae Ma Eul BBQ, Solaris Mont Kiara","1, Jalan Solaris 4, Solaris Mont Kiara, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50480,Mont Kiara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Sala Desa Sri Hartamas,"A-G-3A Galeria Hartamas, No 21 , Jalan 26a/70a, Desa Sri Hartamas, 50480 Kuala Lumpur",50480,Hartamas,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Sawadee Thai Ban Hao (Desa Sri Hartamas),"36, Jalan 27/70a, Desa Sri Hartamas, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50480,Hartamas,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,Upstairs
Sum Hou Bak Kut Teh,"7-G, 7-G, Jalan 22a/70a, Desa Sri Hartamas, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50480,Hartamas,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
The Beer Factory @ Hartamas,"76, Jalan 27/70a, Desa Sri Hartamas, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50480,Hartamas,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
The Butcher’s Table @ Sri Hartamas,"11, Jalan Sri Hartamas 7, Taman Sri Hartamas, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50480,Hartamas,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
The Majapahit @ Arcoris,"Lot No. G8, G9 & G10, G Level, ARCORIS, 10, Jalan Kiara, Mont Kiara, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50480,Mont Kiara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
The Midnight Baker,"LG 1-3, Seni Mont Kiara, Mont Kiara, 50480 Kuala Lumpur",50480,Mont Kiara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Wellcraft Beerhouse,"20, Jalan 28/70a, Desa Sri Hartamas, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50480,Hartamas,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Syarikat Hor Kee 荷记公司 @ Desa Sri Hartamas,"12, Jalan 27/70a, Desa Sri Hartamas, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50480,Hartamas,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
#FIVE Cycle Run Cafe,"43, Jalan Medan Setia 1, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50490,Bukit Damansara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
baBulan KL,"67, Jalan Setia Bakti, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50490,Bukit Damansara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Char Line Asado + Bar,"Plaza Damansara, 43, Ground Floor, Jalan Medan Setia 1, Bukit Damansara, 50490 Kuala Lumpur",50490,Bukit Damansara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
DV Ristorante Pizzeria,"77, Jalan Setia Bakti, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50490,Bukit Damansara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Huckleberry Damansara Heights,"Plaza Damansara, 2G & 4G, Jalan Medan Setia 2, Bukit Damansara, 50490 Kuala Lumpur",50490,Bukit Damansara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Limóne,"Plaza Zúrich, Block A Lot G01-03, Jalan Gelenggang, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50490,Bukit Damansara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Meat The Porkers,"9M, Jalan Medan Setia 1, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50490,Bukit Damansara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Nourish by Kenny Hills Bakers,"The Five, Kompleks Pejabat Damansara, AG-05-02 5th Place @, 49, Jalan Dungun, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50490,Bukit Damansara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Black Salt @ Semantan,"Block B, 10 Semantan Service Suite, B-0-7, East Wing, 10, Jalan Semantan, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50490,Bukit Damansara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor seating,None
Kura's Krafts,"8-3, Jalan Batai, Plaza Batai, Bukit Damansara, 50490 Kuala Lumpur",50490,Bukit Damansara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor seating; Outdoor seating,None
Paolo Paolo Gelato,"E-GF-01, No.49, Jalan Dungun, Bukit Damansara, 50490 Kuala Lumpur",50490,Bukit Damansara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor seating,Carrier / Stroller
Restoran Yum Me Place,"7, Jalan Batai, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50490,Bukit Damansara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Sam's @ Batai,"No.8, 4, Jalan Batai, Plaza Batai, 50490 Kuala Lumpur, Federal Territory of Kuala Lumpur",50490,Bukit Damansara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Sid's Pub @ Plaza Damansara,"Plaza Damansara, 10, Jalan Medan Setia 2, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50490,Bukit Damansara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Smith - Breadsmith & Cafe,"71, Jalan Setia Bakti, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50490,Bukit Damansara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
"The Sticky Wicket, Cricketers' Pub","34, Plaza Damansara,, Jalan Medan Setia 2, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50490,Bukit Damansara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Via Pre KL Italian restaurant,"25, Lorong Setiabistari 2, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50490,Bukit Damansara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Yellow Brick Road,"Kompleks Pejabat Damansara, Lot A-GF-03, 5th Place @ The Five No.49, Kompleks Pejabat Damansara, Jalan Dungun, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50490,Bukit Damansara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
The Meat Experts Restaurant,"Lot No, 9, Lorong Setiabistari 2, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",50490,Bukit Damansara,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
No.10 Cafe,"No.800, Jalan Sentul G-20, Bangunan Perdagangan D7 51000, Sentul, Kuala Lumpur",51000,Sentul,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Hoi Kee Restaurant (Coffee Shop,"No.1, Jalan Segambut Selatan, Taman Segambut, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",51200,Segambut,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Fingerprint Cafe,"2-1, Jalan 17/42, Taman Kok Doh, Segambut, 51200 Kuala Lumpur, Wilayah Persekutuan",51200,Segambut,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor seating,Upstairs
Chai Ung Food Court 财运美食中心,"Lot 42858, Jalan 20/38a, Taman Sri Sinar, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",51200,Taman Sri Sinar / Kepong,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,Food court
Copo Pizzeria,"Rivercity 3rd Mile Lot TDE-C, Trellis Area @ Block D, Jalan Ipoh, 51200 Kuala Lumpur",51200,Jalan Ipoh,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Ho Chiak Seafood Restaurant,"39, Jalan 6/38d, Taman Sri Sinar, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",51200,Taman Sri Sinar / Kepong,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Ipoh Road Yong Tow Foo 怡保路,"1091, Batu 3, Jalan Ipoh, 51200 Kuala Lumpur, Federal Territory of Kuala Lumpur",51200,Jalan Ipoh,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Jalan Ipoh Fish Head Mihun,"23, Jalan Mangga, Jalan Ipoh, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",51200,Jalan Ipoh,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Kedai Kopi Mee Bon 米文包饺,"491, Jalan Sultan Azlan Shah, Taman Million, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",51200,Jalan Ipoh,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Lui Kopitiam & Cafe,"4-1, Jalan Batu Ambar, Taman Kok Lian, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",51200,Jalan Ipoh,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Mille Caffe,"10, Jalan LANG EMAS G-08 , UNITED POINT, Kepong, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",51200,Kepong,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Taste of Thai 泰滋味,"G-22, Ground Floor, United Point Mall, Jalan Lang Emas, Taman Segambut Aman, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",51200,United Point Mall / Kepong,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Pokemon Noodle House,"39, Jalan 6/38d, Taman Sri Sinar, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",51200,Taman Sri Sinar / Kepong,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
B5 Cuisine Cafe,"4A, Jalan Batu Ambar, Taman Kok Lian, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",51200,Jalan Ipoh,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor seating,Upstairs
Fingerprint Cafe,"2-1, Jalan 17/42, Taman Kok Doh, Segambut, 51200 Kuala Lumpur, Wilayah Persekutuan",51200,Segambut,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor seating,Upstairs; diapers required
Restaurant Sun Kar Hee (新嘉喜),"28, Jalan Manjoi, Taman Kok Lian, 51200 Batu 5, Wilayah Persekutuan Kuala Lumpur",51200,Jalan Ipoh,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Laos thai 5 to 9 老泰私房小厨 HQ segambut,"69, Jalan Segambut Pusat, Taman Segambut, 51200 Kuala Lumpur, Wilayah Persekutuan",51200,Segambut,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor seating; Outdoor seating,Carrier / Stroller
Sae Mee Korea,"52, Jalan 6/38d, Taman Sri Sinar, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",51200,Taman Sri Sinar / Kepong,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor seating,Carrier / Stroller
Restoran Win Hing / Kah Hin,"35, Plaza, Jalan 6/38d, Taman Sri Sinar, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",51200,Taman Sri Sinar / Kepong,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
The Balsa Eatery,"D-1, LOT 14070, Jalan 16/42, Taman Kok Doh, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",51200,Kepong,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
THE KYANPU キャンプ Yakiniku Japanese BBQ Grill @ Segambut,"Rain Tree Rain, The ERA @ Duta North (Residensi Era, Jalan Segambut, Kawasan Perusahaan Segambut, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",51200,Segambut,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Third Mile Rivercity,"Lot G-17 Block G, Rivercity, Jalan Sultan Azlan Shah, 51200 Kuala Lumpur, Federal Territory of Kuala Lumpur",51200,Jalan Ipoh,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Xan Ling Segambut,"Lrg Arfah 3, Segambut, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",51200,Segambut,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Bakuteh Hingkee Kepong,"LOT 3541-A, Jalan Kepong Batu 7, 52000 Kuala Lumpur",52000,Kepong,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Chang Cheng 8 Kopitiam (Branch),"1, Jalan Vista Mutiara 1, Tsi Business & Industrial Park, 52000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",52000,Kepong,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
,,,,,,,,
hai Garden Village Seafood & BBQ,"Lot 32713, 6 1/2 Mile, Jln Kepong, 52000 Kuala Lumpur",52000,Jinjang,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor seating,None
Yin’s Sourdough Bakery & Cafe (Kiara Bay),"No G-21, Kiara Bay, Persiaran Putra Bayu, Kepong Metropolitan Lake-garden, 52000 Kuala Lumpur, Federal Territory of Kuala Lumpur",52000,Kepong,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor seating,None
Soon Fatt Kei Pork Ball Noodles,"2042, Jalan Jinjang Aman 2, Jinjang Utara, 52000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",52000,Jinjang,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Thai Garden Village Seafood & BBQ,"Lot 32713, 6 1/2 Mile, Jalan Kepong, 52000 Kuala Lumpur",52000,Kepong,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
The Pink Elephant - Thai BBQ & Steamboat (Kepong/Jinjang Branch),"71-54 & 72, 56, Jalan Kepong, Jinjang Selatan, 52000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",52000,Kepong,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Fat Yoong Restaurant 肥仔炭烧叉烧云吞面,"Fortune Avenue, Condo, Jalan Metro Perdana 2, Taman Usahawan Kepong, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",52100,Kepong,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Fujisawa Izakaya 藤泽居酒屋@Kepong,"21, Jalan Metro Perdana Barat 1, Taman Usahawan Kepong, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",52100,Kepong,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,Upstairs
Hing Kee Bakuteh 兴记肉骨茶 (甲洞大街) Jalan Kepong,"121, Jalan Kepong, Metro Prima, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",52100,Kepong,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Ka Ka Bak Kut Teh,"Jalan 1/32a, Kepong Baru, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",52100,Kepong,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Kim & Savini Cafe,"11A TKT, 1, Jalan Ambong Kiri 2, Kepong Baru, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",52100,Kepong,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Oh Cafe,"556, Residensi pano, 2, Jln Ipoh, Batu Complex Bussiness Centre, 52100 Kuala Lumpur, Federal Territory of Kuala Lumpur",52100,Jalan Ipoh,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Full Round Cafe,"10A, Jalan Desa 2/7, Desa Aman Puri, 52100 Kuala Lumpur, Selangor",52100,Desa Aman Puri,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Honmono Izakaya Japanese Restaurant @ United Point,"Unit G-19, United Point Mall, 10, Jalan Lang Emas, Taman Segambut Aman, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",52100,United Point Mall / Kepong,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Thai Bear Mookata Buffet,"No 1-1, Jalan E 3/7A Taman Ehsan, Kepong, 52100 Kuala Lumpur",52100,Taman Ehsan,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,Reservations required
Vergine Cafe,"3-25, Jalan Desa 2/4, Desa Aman Puri, 52100 Kuala Lumpur, Wilayah Persekutuan",52100,Desa Aman Puri,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
华人佳茶餐馆 Restoran Hwa Yan Kai,"24, Jalan Desa 2/2, Desa Aman Puri, 52100 Kuala Lumpur, Selangor",52100,Desa Aman Puri,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Restoran Heng Kee Delights Bak Kut Teh 兴记肉骨茶,"No 31, Jalan 3/62a, Bandar Menjalara, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",52100,Bandar Menjalara / Kepong,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
DUDDELLS LEWISGENE COFFEE ROASTERY,"G07, Residensi Perdana, Jalan Metro Perdana Barat, Kepong, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",52100,Kepong,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor seating,None
Restoran Super Kitchen Chilli Pan Mee 辣椒板面 (Kepong),"18, Jalan Metro Perdana 8, Taman Usahawan, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",52100,Kepong,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Kedai Kopi Hang Yoon 幸运茶室,"Wilayah Persekutuan Kuala Lumpur, Seri Edaran Light Industrial Park, Jalan 11/34B邮政编码: 52100",52100,Kepong,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor seating,None
Snooze @ Kepong’gi Square,"G-01,G-02, G-03, Kepong'Gi Square, Jalan Rimbunan Teratai 4, Taman Usahawan, 52100 Kepong, Wilayah Persekutuan Kuala Lumpur",52100,Kepong,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,None
Ring Zhi Vegetarian Restaurant,"2, Jalan Prima 8, Metro Prima, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",52100,Kepong,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Outdoor seating,Vegetarian
Restoran 32,"jalan2/1A Indah kepong, Taman Kepong, 52100 Kuala Lumpur, Federal Territory of Kuala Lumpur",52100,Kepong,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor seating,None
Taiwanese House 臺式老屋 @ Kepong,"17, Floor G Jalan 2/33b off jalan kepong BT6 1/2, section, Mwe Kepong Commercial Park, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",52100,Kepong,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor seating; Outdoor seating,None
Thai ​Chef​ Restaurant​ Kepong,"Fortune Avenue, D-G16 Jalan Metro Perdana 3, Taman Usahawan Kepong, 52100 Kuala Lumpur, Federal Territory of Kuala Lumpur",52100,Kepong,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor seating; Outdoor seating,None
SōFluffy,"2nd floor, 16-2, Jalan 7/36, Bukit Seri Bintang, 52100 Kuala Lumpur, Federal Territory of Kuala Lumpur",52100,Taman Sri Bintang / Kepong,Kuala Lumpur,Wilayah Persekutuan,Food & Beverage,Indoor Seating,Upstairs
